platform,type,country,release_year,rating,genre,count
Amazon,Movie,Afghanistan,2017,13+,Drama,1
Amazon,Movie,Albania,2020,18+,Drama,1
Amazon,Movie,Australia,2002,13+,Arthouse,1
Amazon,Movie,Australia,2002,13+,Drama,1
Amazon,Movie,Australia,2014,13+,Documentary,1
Amazon,Movie,Australia,2017,13+,Documentary,1
Amazon,Movie,Australia,2017,R,Action,1
Amazon,Movie,Australia,2020,13+,Documentary,1
Amazon,Movie,Australia,2020,16+,Documentary,1
Amazon,Movie,Austria,2009,13+,Action,1
Amazon,Movie,Austria,2009,13+,Comedy,1
Amazon,Movie,Austria,2009,13+,Documentary,1
Amazon,Movie,Austria,2016,13+,Comedy,1
Amazon,Movie,Austria,2016,13+,Drama,1
Amazon,Movie,Austria,2020,R,Drama,1
Amazon,Movie,Austria,2020,R,Suspense,1
Amazon,Movie,Belgium,2015,PG-13,Action,1
Amazon,Movie,Belgium,2015,R,Action,1
Amazon,Movie,Belgium,2015,R,Comedy,1
Amazon,Movie,Belgium,2016,R,Horror,1
Amazon,Movie,Belgium,2016,R,Suspense,1
Amazon,Movie,Belgium,2018,18+,Action,1
Amazon,Movie,Belgium,2018,18+,Suspense,1
Amazon,Movie,Belgium,2019,R,Action,1
Amazon,Movie,Belgium,2019,R,Adventure,1
Amazon,Movie,Belgium,2019,R,Western,1
Amazon,Movie,Brazil,2005,PG-13,Action,1
Amazon,Movie,Brazil,2005,PG-13,Science Fiction,1
Amazon,Movie,Brazil,2006,13+,Action,1
Amazon,Movie,Brazil,2014,16+,LGBTQ,1
Amazon,Movie,Brazil,2014,16+,Romance,1
Amazon,Movie,Brazil,2019,R,Drama,1
Amazon,Movie,Brazil,2019,R,Horror,1
Amazon,Movie,Brazil,2020,13+,Action,1
Amazon,Movie,Brazil,2020,13+,Adventure,1
Amazon,Movie,Brazil,2020,13+,Science Fiction,1
Amazon,Movie,Canada,1989,R,Comedy,1
Amazon,Movie,Canada,1989,R,Horror,1
Amazon,Movie,Canada,1989,R,Suspense,1
Amazon,Movie,Canada,2002,PG-13,Suspense,1
Amazon,Movie,Canada,2007,13+,Documentary,3
Amazon,Movie,Canada,2007,13+,Special Interest,2
Amazon,Movie,Canada,2008,16+,Documentary,1
Amazon,Movie,Canada,2008,18+,Drama,1
Amazon,Movie,Canada,2009,R,Arts,1
Amazon,Movie,Canada,2009,R,Comedy,1
Amazon,Movie,Canada,2009,R,Culture,1
Amazon,Movie,Canada,2009,R,Entertainment,1
Amazon,Movie,Canada,2009,R,Horror,1
Amazon,Movie,Canada,2011,13+,Documentary,1
Amazon,Movie,Canada,2011,R,Action,1
Amazon,Movie,Canada,2011,R,Drama,1
Amazon,Movie,Canada,2011,R,Suspense,1
Amazon,Movie,Canada,2012,13+,Documentary,1
Amazon,Movie,Canada,2012,13+,Drama,1
Amazon,Movie,Canada,2012,18+,Action,1
Amazon,Movie,Canada,2012,18+,Drama,1
Amazon,Movie,Canada,2012,18+,Western,1
Amazon,Movie,Canada,2012,R,Action,2
Amazon,Movie,Canada,2012,R,Horror,1
Amazon,Movie,Canada,2012,R,Science Fiction,2
Amazon,Movie,Canada,2013,R,Action,1
Amazon,Movie,Canada,2013,R,Suspense,1
Amazon,Movie,Canada,2014,13+,Documentary,1
Amazon,Movie,Canada,2014,13+,Special Interest,1
Amazon,Movie,Canada,2014,Other,Comedy,1
Amazon,Movie,Canada,2014,Other,Drama,1
Amazon,Movie,Canada,2015,13+,Documentary,1
Amazon,Movie,Canada,2015,13+,Special Interest,1
Amazon,Movie,Canada,2016,Other,Adventure,1
Amazon,Movie,Canada,2016,Other,Kids,1
Amazon,Movie,Canada,2017,All Ages,Drama,1
Amazon,Movie,Canada,2017,All Ages,International,1
Amazon,Movie,Canada,2017,Other,Action,1
Amazon,Movie,Canada,2017,Other,Science Fiction,1
Amazon,Movie,Canada,2017,Other,Suspense,1
Amazon,Movie,Canada,2017,R,Drama,1
Amazon,Movie,Canada,2018,16+,Horror,1
Amazon,Movie,Canada,2018,PG,Drama,1
Amazon,Movie,Canada,2018,R,Action,1
Amazon,Movie,Canada,2018,R,Adventure,1
Amazon,Movie,Canada,2019,R,Comedy,1
Amazon,Movie,Canada,2019,R,Drama,3
Amazon,Movie,Canada,2019,R,Horror,1
Amazon,Movie,Canada,2019,R,Romance,1
Amazon,Movie,Canada,2019,R,Young Adult Audience,1
Amazon,Movie,Canada,2020,16+,Drama,1
Amazon,Movie,Canada,2020,16+,LGBTQ,1
Amazon,Movie,Canada,2020,R,Arts,1
Amazon,Movie,Canada,2020,R,Culture,1
Amazon,Movie,Canada,2020,R,Drama,1
Amazon,Movie,Canada,2020,R,Entertainment,1
Amazon,Movie,Canada,2020,R,Suspense,1
Amazon,Movie,China,2015,PG-13,Action,1
Amazon,Movie,China,2017,All Ages,Drama,1
Amazon,Movie,China,2017,All Ages,International,1
Amazon,Movie,China,2019,13+,Arthouse,1
Amazon,Movie,China,2019,13+,Arts,2
Amazon,Movie,China,2019,13+,Comedy,2
Amazon,Movie,China,2019,13+,Culture,2
Amazon,Movie,China,2019,13+,Drama,1
Amazon,Movie,China,2019,13+,Entertainment,2
